"country","term","day","rank","repetitions","topic"
"1","Argentina","River","2024-06-03",1,24,"Sports"
"2","Argentina","Rosario Central  Lanús","2024-06-03",2,24,NA
"3","Argentina","Claudia Sheinbaum","2024-06-03",3,24,"Politics"
"4","Argentina","Paro de trenes","2024-06-03",4,24,"Health & Medicine"
"5","Argentina","River vs Tigre","2024-06-03",5,24,"Sports"
"6","Argentina","San Lorenzo","2024-06-04",1,24,"Sports"
"7","Argentina","Estudiantes  Godoy Cruz","2024-06-04",2,24,NA
"8","Argentina","Djokovic","2024-06-04",3,24,NA
"9","Argentina","Rocio Robles","2024-06-04",4,24,"Entertainment"
"10","Argentina","Quien se fue DE GRAN HERMANO","2024-06-04",5,24,"Entertainment"
"11","Argentina","Independiente","2024-06-05",1,24,"Sports"
"12","Argentina","Barracas Central  Huracán","2024-06-05",2,24,NA
"13","Argentina","Grabois","2024-06-05",3,24,NA
"14","Argentina","Zverev","2024-06-05",4,24,"Sports"
"15","Argentina","Belmonte","2024-06-05",5,24,"Culture & Society"
"16","Argentina","Talleres  Colón","2024-06-06",1,24,NA
"17","Argentina","México  Uruguay","2024-06-06",2,24,NA
"18","Argentina","Velez","2024-06-06",3,24,"Sports"
"19","Argentina","Alcaraz","2024-06-06",4,24,"Sports"
"20","Argentina","Arsenal  Vélez","2024-06-06",5,24,NA
"21","Argentina","Boston Celtics","2024-06-07",1,24,"Sports"
"22","Argentina","Duki","2024-06-07",2,24,"Music"
"23","Argentina","Zverev","2024-06-07",3,24,"Sports"
"24","Argentina","Charly garcia","2024-06-07",4,24,"Entertainment"
"25","Argentina","Nicolas Fonseca","2024-06-07",5,24,NA
"26","Argentina","Argentina Sub 23","2024-06-08",1,24,"Sports"
"27","Argentina","San Lorenzo","2024-06-08",2,24,"Sports"
"28","Argentina","Alcaraz","2024-06-08",3,24,"Sports"
"29","Argentina","Partido Argentina","2024-06-08",4,24,"Sports"
"30","Argentina","Perú  Paraguay","2024-06-08",5,24,NA
"31","Argentina","Argentina vs","2024-06-09",1,24,"Sports"
"32","Argentina","Argentina vs Ecuador","2024-06-09",2,24,"Sports"
"33","Argentina","México  Brasil","2024-06-09",3,24,NA
"34","Argentina","Grêmio Estudiantes","2024-06-09",4,24,"Sports"
"35","Argentina","Platense  Huracán","2024-06-09",5,24,NA
"36","Argentina","Argentina  Ecuador","2024-06-10",1,48,NA
"37","Argentina","Alcaraz","2024-06-10",2,48,"Sports"
"38","Argentina","NBA","2024-06-10",3,48,"Sports"
"39","Argentina","Paul McCartney","2024-06-10",4,48,"Entertainment"
"40","Argentina","Fabiana Cantilo","2024-06-10",5,48,NA
"41","Argentina","Nodal","2024-06-11",1,48,"Music"
"42","Argentina","Patito Feo","2024-06-11",2,48,"Entertainment"
"43","Argentina","Argentina Paraguay Sub 23","2024-06-11",3,48,"Sports"
"44","Argentina","Horacio Rodríguez Larreta","2024-06-11",4,48,"Politics"
"45","Argentina","Ley Bases","2024-06-11",5,48,"Education"
"46","Argentina","Ley de Bases","2024-06-12",1,48,"Education"
"47","Argentina","Gary Medel","2024-06-12",2,48,"Sports"
"48","Argentina","Portugal - Irlanda","2024-06-12",3,48,"Politics"
"49","Argentina","Georgina Rodríguez","2024-06-12",4,48,"Culture & Society"
"50","Argentina","Globant","2024-06-12",5,48,"Business & Finance"
"51","Argentina","Ley de Bases","2024-06-13",1,48,"Education"
"52","Argentina","Gary Medel","2024-06-13",2,48,"Sports"
"53","Argentina","Portugal - Irlanda","2024-06-13",3,48,"Politics"
"54","Argentina","Georgina Rodríguez","2024-06-13",4,48,"Culture & Society"
"55","Argentina","Globant","2024-06-13",5,48,"Business & Finance"
"56","Argentina","Ley Bases","2024-06-14",1,48,"Education"
"57","Argentina","Deportivo Riestra  River Plate","2024-06-14",2,48,NA
