"country","day","term","rank","repetitions"
"1","Argentina","2024-06-03","River",1,24
"2","Argentina","2024-06-03","Rosario Central  Lanús",2,24
"3","Argentina","2024-06-03","Claudia Sheinbaum",3,24
"4","Argentina","2024-06-03","Paro de trenes",4,24
"5","Argentina","2024-06-03","River vs Tigre",5,24
"6","Argentina","2024-06-04","San Lorenzo",1,24
"7","Argentina","2024-06-04","Estudiantes  Godoy Cruz",2,24
"8","Argentina","2024-06-04","Djokovic",3,24
"9","Argentina","2024-06-04","Rocio Robles",4,24
"10","Argentina","2024-06-04","Quien se fue DE GRAN HERMANO",5,24
"11","Argentina","2024-06-05","Independiente",1,24
"12","Argentina","2024-06-05","Barracas Central  Huracán",2,24
"13","Argentina","2024-06-05","Grabois",3,24
"14","Argentina","2024-06-05","Zverev",4,24
"15","Argentina","2024-06-05","Belmonte",5,24
"16","Argentina","2024-06-06","Talleres  Colón",1,24
"17","Argentina","2024-06-06","México  Uruguay",2,24
"18","Argentina","2024-06-06","Velez",3,24
"19","Argentina","2024-06-06","Alcaraz",4,24
"20","Argentina","2024-06-06","Arsenal  Vélez",5,24
"21","Argentina","2024-06-07","Boston Celtics",1,24
"22","Argentina","2024-06-07","Duki",2,24
"23","Argentina","2024-06-07","Zverev",3,24
"24","Argentina","2024-06-07","Charly garcia",4,24
"25","Argentina","2024-06-07","Nicolas Fonseca",5,24
"26","Argentina","2024-06-08","Argentina Sub 23",1,24
"27","Argentina","2024-06-08","San Lorenzo",2,24
"28","Argentina","2024-06-08","Alcaraz",3,24
"29","Argentina","2024-06-08","Partido Argentina",4,24
"30","Argentina","2024-06-08","Perú  Paraguay",5,24
"31","Argentina","2024-06-09","Argentina vs",1,24
"32","Argentina","2024-06-09","Argentina vs Ecuador",2,24
"33","Argentina","2024-06-09","México  Brasil",3,24
"34","Argentina","2024-06-09","Grêmio Estudiantes",4,24
"35","Argentina","2024-06-09","Platense  Huracán",5,24
"36","Argentina","2024-06-10","Argentina  Ecuador",1,48
"37","Argentina","2024-06-10","Alcaraz",2,48
"38","Argentina","2024-06-10","NBA",3,48
"39","Argentina","2024-06-10","Paul McCartney",4,48
"40","Argentina","2024-06-10","Fabiana Cantilo",5,48
"41","Argentina","2024-06-11","Nodal",1,48
